subjectName,constructName,latex_formatted_question,question,latext_formatted_wrongAnswer,wrongAnswer,misconception,latex_formatted_wrongAnswer
Properties of Polygons,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",Tom and Katie are discussing regular polygons Tom says this is a regular polygon: ![A rhombus]() Katie says this is a regular polygon: ![A rectangle]() Who is correct?,Tom and Katie are discussing regular polygons Tom says this is a regular polygon: ![A rhombus]() Katie says this is a regular polygon: ![A rectangle]() Who is correct?,Both Tom and Katie,Both Tom and Katie,"570    Does not understand that all angles and sides ...
Name: MisconceptionName, dtype: object",
Plotting Quadratics from Tables of Values,"Given a positive x value, find the corresponding y value for curves in the form y = x² + c","This is a part of the table of values for the equation
\(
y=x^{2}-1
\) \begin{tabular}{|c|c|}
\hline\( x \) & \( 5 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) \\
\hline
\end{tabular} What should replace the star?",This is a part of the table of values for the equation y=x^2-1  x     5   y         What should replace the star?,\( 9 \),9,"2316    Mixes up squaring and multiplying by 2 or doub...
Name: MisconceptionName, dtype: object",
Plotting Quadratics from Tables of Values,"Given a positive x value, find the corresponding y value for curves in the form y = x² + c","This is a part of the table of values for the equation
\(
y=x^{2}-1
\) \begin{tabular}{|c|c|}
\hline\( x \) & \( 5 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) \\
\hline
\end{tabular} What should replace the star?",This is a part of the table of values for the equation y=x^2-1  x     5   y         What should replace the star?,\( 16 \),16,"2532    Believes order of operations does not affect t...
Name: MisconceptionName, dtype: object",
Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,"Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What total should replace the square? \( \begin{array}{l} \frac{ ?\pm \sqrt{9-(-40)}}{?} \\ = \frac{ ?\pm \sqrt{\square}}{?} \end{array} \)",Mo wants to solve this equation using the quadratic formula. 5 h^2-3 h-2=0  What total should replace the square? [ ?±√(9-(-40))/?;    =  ?±√(□)/? ],\( -49 \),-49,"1135    When subtracting a negative number, adds the a...
Name: MisconceptionName, dtype: object",
Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,"Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What total should replace the square? \( \begin{array}{l} \frac{ ?\pm \sqrt{9-(-40)}}{?} \\ = \frac{ ?\pm \sqrt{\square}}{?} \end{array} \)",Mo wants to solve this equation using the quadratic formula. 5 h^2-3 h-2=0  What total should replace the square? [ ?±√(9-(-40))/?;    =  ?±√(□)/? ],\( -31 \),-31,"2566    When subtracting a negative number, subtracts ...
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Use common conventions for labelling the sides of shapes,"Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()","Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()",,Q,"1393    Does not know that a single letter labels a ve...
Name: MisconceptionName, dtype: object",\( Q \)
Properties of Quadrilaterals,Use common conventions for labelling the sides of shapes,"Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()","Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()",P,P,"1393    Does not know that a single letter labels a ve...
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Use common conventions for labelling the sides of shapes,"Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()","Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()",QPRS,QPRS,"1790    Does not know the correct notation for labelli...
Name: MisconceptionName, dtype: object",
Laws of Indices,"Multiply algebraic terms, involving non-linear versions of different letters (e.g. 4a2 x 5ab)",\( 5 p^{2} \times 2 p q \equiv \),5 p^2× 2 p q ≡,\( 7 p^{3} q \),7 p^3 q,"2085    Adds instead of multiplies when multiplying al...
Name: MisconceptionName, dtype: object",
Laws of Indices,"Multiply algebraic terms, involving non-linear versions of different letters (e.g. 4a2 x 5ab)",\( 5 p^{2} \times 2 p q \equiv \),5 p^2× 2 p q ≡,Does not simplify,Does not simplify,"346    Does not understand how to multiply algebraic ...
Name: MisconceptionName, dtype: object",
Mental Multiplication and Division,Interpret and carry out mental division using a bar model,"Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:
\[
188 \div 4=47
\] Katie uses the bar model to write:
\[
188 \div 47=4
\] Who do you agree with?",Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:      188 ÷ 4=47  Katie uses the bar model to write:      188 ÷ 47=4  Who do you agree with?,,Only Tom,"1839    Does not know how to use a bar model to write ...
Name: MisconceptionName, dtype: object",Only Tom
Mental Multiplication and Division,Interpret and carry out mental division using a bar model,"Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:
\[
188 \div 4=47
\] Katie uses the bar model to write:
\[
188 \div 47=4
\] Who do you agree with?",Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:      188 ÷ 4=47  Katie uses the bar model to write:      188 ÷ 47=4  Who do you agree with?,Only Katie,Only Katie,"1839    Does not know how to use a bar model to write ...
Name: MisconceptionName, dtype: object",
Mental Multiplication and Division,Interpret and carry out mental division using a bar model,"Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:
\[
188 \div 4=47
\] Katie uses the bar model to write:
\[
188 \div 47=4
\] Who do you agree with?",Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:      188 ÷ 4=47  Katie uses the bar model to write:      188 ÷ 47=4  Who do you agree with?,Neither is correct,Neither is correct,"1839    Does not know how to use a bar model to write ...
Name: MisconceptionName, dtype: object",
"Averages (mean, median, mode) from a List of Data",Order fractions whose denominators are multiples of the same number ,"\begin{tabular}{llllll}
\( \frac{2}{10} \) & \( \frac{9}{50} \) & \( \frac{9}{20} \) & \( 0.21 \) & \( \frac{1}{5} \) & \( \frac{19}{100} \) \\
\hline
\end{tabular} Which value is the outlier in this set of data?", 2/10     9/50     9/20     0.21     1/5     19/100    Which value is the outlier in this set of data?,,2/10,"758    Believes an outlier is a value that does not f...
Name: MisconceptionName, dtype: object",\( \frac{2}{10} \)
"Averages (mean, median, mode) from a List of Data",Order fractions whose denominators are multiples of the same number ,"\begin{tabular}{llllll}
\( \frac{2}{10} \) & \( \frac{9}{50} \) & \( \frac{9}{20} \) & \( 0.21 \) & \( \frac{1}{5} \) & \( \frac{19}{100} \) \\
\hline
\end{tabular} Which value is the outlier in this set of data?", 2/10     9/50     9/20     0.21     1/5     19/100    Which value is the outlier in this set of data?,\( \frac{19}{100} \),19/100,"197    Believes an outlier is the value in a data set...
Name: MisconceptionName, dtype: object",
"Averages (mean, median, mode) from a List of Data",Order fractions whose denominators are multiples of the same number ,"\begin{tabular}{llllll}
\( \frac{2}{10} \) & \( \frac{9}{50} \) & \( \frac{9}{20} \) & \( 0.21 \) & \( \frac{1}{5} \) & \( \frac{19}{100} \) \\
\hline
\end{tabular} Which value is the outlier in this set of data?", 2/10     9/50     9/20     0.21     1/5     19/100    Which value is the outlier in this set of data?,\( 0.21 \),0.21,"758    Believes an outlier is a value that does not f...
Name: MisconceptionName, dtype: object",
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles around a point,"What is the size of angle \( x \) ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()","What is the size of angle x ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()",,310^∘,"415    Incorrectly identifies angles as vertically op...
Name: MisconceptionName, dtype: object",\( 310^{\circ} \)
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles around a point,"What is the size of angle \( x \) ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()","What is the size of angle x ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()",\( 90^{\circ} \),90^∘,"2334    Does not know that angles around a point sum t...
Name: MisconceptionName, dtype: object",
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles around a point,"What is the size of angle \( x \) ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()","What is the size of angle x ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()",\( 45^{\circ} \),45^∘,"829    Estimates angle rather than calculating
Name: MisconceptionName, dtype: object",
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising both the numerator and denominator,"Write the following as simply as possible:
\(
\frac{(x+3)(x+5)}{(x+3)(x+10)}
\)",Write the following as simply as possible: (x+3)(x+5)/(x+3)(x+10),,x+1/x+2,"1610    Misunderstands the concept of common factors i...
Name: MisconceptionName, dtype: object",\( \frac{x+1}{x+2} \)
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising both the numerator and denominator,"Write the following as simply as possible:
\(
\frac{(x+3)(x+5)}{(x+3)(x+10)}
\)",Write the following as simply as possible: (x+3)(x+5)/(x+3)(x+10),\( \frac{x^{2}+8 x+15}{x^{2}+13 x+30} \),x^2+8 x+15/x^2+13 x+30,"792    Expands when asked to simplify
Name: MisconceptionName, dtype: object",
Surface Area of Prisms,Calculate the surface area of a cuboid where the dimensions are given in the same units,"Which of the following calculations would give you the total surface area of this cuboid in \( \mathrm{cm}^{2} \) ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()","Which of the following calculations would give you the total surface area of this cuboid in cm^2 ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()",,(6 × 4)+(6 × 3)+(4 × 3),"2056    When calculating surface area, only includes v...
Name: MisconceptionName, dtype: object",\( (6 \times 4)+(6 \times 3)+(4 \times 3) \)
Surface Area of Prisms,Calculate the surface area of a cuboid where the dimensions are given in the same units,"Which of the following calculations would give you the total surface area of this cuboid in \( \mathrm{cm}^{2} \) ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()","Which of the following calculations would give you the total surface area of this cuboid in cm^2 ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()",\( 6 \times 4 \times 3 \),6 × 4 × 3,"648    Finds volume when asked for surface area
Name: MisconceptionName, dtype: object",
Surface Area of Prisms,Calculate the surface area of a cuboid where the dimensions are given in the same units,"Which of the following calculations would give you the total surface area of this cuboid in \( \mathrm{cm}^{2} \) ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()","Which of the following calculations would give you the total surface area of this cuboid in cm^2 ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()",\( (6 \times 4) \times(6 \times 3) \times(4 \times 3) \),(6 × 4) ×(6 × 3) ×(4 × 3),"2056    When calculating surface area, only includes v...
Name: MisconceptionName, dtype: object",
BIDMAS,Use the order of operations to carry out calculations involving brackets,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",     1+2 ×(3-4)=   Which calculation should you do first?,,1+2,"1507    Carries out operations from left to right rega...
Name: MisconceptionName, dtype: object",\( 1+2 \)
BIDMAS,Use the order of operations to carry out calculations involving brackets,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",     1+2 ×(3-4)=   Which calculation should you do first?,\( 2 \times 3 \),2 × 3,"2488    Answers order of operations questions with bra...
Name: MisconceptionName, dtype: object",
BIDMAS,Use the order of operations to carry out calculations involving brackets,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",     1+2 ×(3-4)=   Which calculation should you do first?,It doesn't matter: you get the same answer,It doesn't matter: you get the same answer,"2532    Believes order of operations does not affect t...
Name: MisconceptionName, dtype: object",
Linear Equations,"Solve one-step linear equations requiring multiplication or division, involving positive fractions","Solve the equation:
\(
5 p=\frac{1}{10}
\)",Solve the equation: 5 p=1/10,,p=1/2,"1214    When solving an equation, uses the same operat...
Name: MisconceptionName, dtype: object",\( p=\frac{1}{2} \)
BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",Problem P: 4-5+6= Problem Q: 4+5 × 6=  Which calculation should you do first in each problem?,,Problem P: 4-5 Problem Q: 4+5,"1507    Carries out operations from left to right rega...
Name: MisconceptionName, dtype: object","Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)"
BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",Problem P: 4-5+6= Problem Q: 4+5 × 6=  Which calculation should you do first in each problem?,"Problem P: \( 5+6 \)
Problem Q: \( 4+5 \)",Problem P: 5+6 Problem Q: 4+5,"1516    Performs addition ahead of any other operation
Name: MisconceptionName, dtype: object",
BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division","Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",Problem P: 4-5+6= Problem Q: 4+5 × 6=  Which calculation should you do first in each problem?,"Problem P: \( 5+6 \)
Problem Q: \( 5 \times 6 \)",Problem P: 5+6 Problem Q: 5 × 6,"2306    Applies BIDMAS in strict order (does not reali...
Name: MisconceptionName, dtype: object",
Linear Sequences (nth term),Use the nth term rule of an ascending integer linear sequence to test whether a term belongs in the sequence or not,"Eliza is trying to work out if \( 82 \) is a term in the sequence \( 3 n+1 \)

Below is her working out. What conclusion should Eliza draw?

 \( \begin{aligned} 3 n+1 & =82 \\ 3 n & =81 \\ n & =27\end{aligned} \)",Eliza is trying to work out if 82 is a term in the sequence 3 n+1  Below is her working out. What conclusion should Eliza draw?   3 n+1     =82   3 n     =81   n     =27,\( 27 \) is in the sequence and is the \( 82^{\text {nd }} \) term,27 is in the sequence and is the 82^nd term,"2220    Mixes up term in a sequence and position of a ...
Name: MisconceptionName, dtype: object",
Linear Sequences (nth term),Use the nth term rule of an ascending integer linear sequence to test whether a term belongs in the sequence or not,"Eliza is trying to work out if \( 82 \) is a term in the sequence \( 3 n+1 \)

Below is her working out. What conclusion should Eliza draw?

 \( \begin{aligned} 3 n+1 & =82 \\ 3 n & =81 \\ n & =27\end{aligned} \)",Eliza is trying to work out if 82 is a term in the sequence 3 n+1  Below is her working out. What conclusion should Eliza draw?   3 n+1     =82   3 n     =81   n     =27,\( 82 \) is not in the sequence because \( 27 \) is an integer,82 is not in the sequence because 27 is an integer,"469    Believes the position of a sequence cannot be ...
Name: MisconceptionName, dtype: object",
Linear Sequences (nth term),Use the nth term rule of an ascending integer linear sequence to test whether a term belongs in the sequence or not,"Eliza is trying to work out if \( 82 \) is a term in the sequence \( 3 n+1 \)

Below is her working out. What conclusion should Eliza draw?

 \( \begin{aligned} 3 n+1 & =82 \\ 3 n & =81 \\ n & =27\end{aligned} \)",Eliza is trying to work out if 82 is a term in the sequence 3 n+1  Below is her working out. What conclusion should Eliza draw?   3 n+1     =82   3 n     =81   n     =27,Eliza's method does not answer this question,Eliza's method does not answer this question,"1354    Does not know how to calculate the position of...
Name: MisconceptionName, dtype: object",
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{t^{2}+2 t+1}{t+1} \)","Simplify the following, if possible: t^2+2 t+1/t+1",,t+2,"891    Incorrectly cancels what they believe is a fac...
Name: MisconceptionName, dtype: object",\( t+2 \)
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{t^{2}+2 t+1}{t+1} \)","Simplify the following, if possible: t^2+2 t+1/t+1",\( t^{2}+t \),t^2+t,"2078    Simplifies a fraction by adding or subtracting...
Name: MisconceptionName, dtype: object",
Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{t^{2}+2 t+1}{t+1} \)","Simplify the following, if possible: t^2+2 t+1/t+1",Does not simplify,Does not simplify,"167    Does not recognise factorising a quadratic
Name: MisconceptionName, dtype: object",
Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),,2/5×1/2,"2373    Does not understand parts must be equal in a f...
Name: MisconceptionName, dtype: object",\( \frac{2}{5} \times \frac{1}{2} \)
Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),\( \frac{1}{4} \div \frac{1}{2} \),1/4÷1/2,"565    Divides rather than multiplies 
Name: MisconceptionName, dtype: object",
Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),\( \frac{2}{5} \div 2 \),2/5÷ 2,"2373    Does not understand parts must be equal in a f...
Name: MisconceptionName, dtype: object",
"Types, Naming and Estimating",Label angles using correct 3-letter notation (e.g. angle ADB),"Which of the following correctly describes the marked angle? ![An image of square ABCE. D lies 1/3 from C on the line CE and is connected to A by a line. Attached to the square at line CE is a pentagon CEFGH. G is connected to C and E by lines. The angle highlighted is the entire, interior angle at E.]()","Which of the following correctly describes the marked angle? ![An image of square ABCE. D lies 1/3 from C on the line CE and is connected to A by a line. Attached to the square at line CE is a pentagon CEFGH. G is connected to C and E by lines. The angle highlighted is the entire, interior angle at E.]()",,EFA,"1906    Gives 3-letter angle notation in the wrong order
Name: MisconceptionName, dtype: object",EFA
"Types, Naming and Estimating",Label angles using correct 3-letter notation (e.g. angle ADB),"Which of the following correctly describes the marked angle? ![An image of square ABCE. D lies 1/3 from C on the line CE and is connected to A by a line. Attached to the square at line CE is a pentagon CEFGH. G is connected to C and E by lines. The angle highlighted is the entire, interior angle at E.]()","Which of the following correctly describes the marked angle? ![An image of square ABCE. D lies 1/3 from C on the line CE and is connected to A by a line. Attached to the square at line CE is a pentagon CEFGH. G is connected to C and E by lines. The angle highlighted is the entire, interior angle at E.]()",E,E,"620    Gives the vertex instead of the 3-letter angle...
Name: MisconceptionName, dtype: object",
Linear Sequences (nth term),Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,"Jo and Paul are arguing about the best way to count the number of squares in Pattern \( 15 \).
Jo does: \( 15 \times 3+4 \)
Paul does: \( (15+2) \times 3-4 \)
Who is correct? ![The 3rd and 4th terms in a sequence of patterns. Each pattern is made from red squares. Pattern 3 is 11 squares: they are arranged as a rectangle, 3 squares high and 3 squares wide and then 2 more squares, 1 each side of the middle squares (vertically). Pattern 4 is 14 squares arranged as a rectangle, 3 squares high and 4 squares wide and then 2 more squares, 1 each side of the middle squares.]()","Jo and Paul are arguing about the best way to count the number of squares in Pattern 15. Jo does: 15 × 3+4 Paul does: (15+2) × 3-4 Who is correct? ![The 3rd and 4th terms in a sequence of patterns. Each pattern is made from red squares. Pattern 3 is 11 squares: they are arranged as a rectangle, 3 squares high and 3 squares wide and then 2 more squares, 1 each side of the middle squares (vertically). Pattern 4 is 14 squares arranged as a rectangle, 3 squares high and 4 squares wide and then 2 more squares, 1 each side of the middle squares.]()",,Only Jo,"1925    Believes nth term rules for patterns must be g...
Name: MisconceptionName, dtype: object",Only Jo
Linear Sequences (nth term),Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,"Jo and Paul are arguing about the best way to count the number of squares in Pattern \( 15 \).
Jo does: \( 15 \times 3+4 \)
Paul does: \( (15+2) \times 3-4 \)
Who is correct? ![The 3rd and 4th terms in a sequence of patterns. Each pattern is made from red squares. Pattern 3 is 11 squares: they are arranged as a rectangle, 3 squares high and 3 squares wide and then 2 more squares, 1 each side of the middle squares (vertically). Pattern 4 is 14 squares arranged as a rectangle, 3 squares high and 4 squares wide and then 2 more squares, 1 each side of the middle squares.]()","Jo and Paul are arguing about the best way to count the number of squares in Pattern 15. Jo does: 15 × 3+4 Paul does: (15+2) × 3-4 Who is correct? ![The 3rd and 4th terms in a sequence of patterns. Each pattern is made from red squares. Pattern 3 is 11 squares: they are arranged as a rectangle, 3 squares high and 3 squares wide and then 2 more squares, 1 each side of the middle squares (vertically). Pattern 4 is 14 squares arranged as a rectangle, 3 squares high and 4 squares wide and then 2 more squares, 1 each side of the middle squares.]()",Neither is correct,Neither is correct,"1925    Believes nth term rules for patterns must be g...
Name: MisconceptionName, dtype: object",
Multiplying Terms,Write algebraic expressions with correct algebraic convention involving powers,"Simplify, if possible:
\(
a^{2} \times a
\)","Simplify, if possible: a^2× a",,2 a^2,"346    Does not understand how to multiply algebraic ...
Name: MisconceptionName, dtype: object",\( 2 a^{2} \)
Multiplying Terms,Write algebraic expressions with correct algebraic convention involving powers,"Simplify, if possible:
\(
a^{2} \times a
\)","Simplify, if possible: a^2× a",\( 3 a \),3 a,"1072    Multiplies by the index
Name: MisconceptionName, dtype: object",
Multiplying Terms,Write algebraic expressions with correct algebraic convention involving powers,"Simplify, if possible:
\(
a^{2} \times a
\)","Simplify, if possible: a^2× a",Does not simplify,Does not simplify,"346    Does not understand how to multiply algebraic ...
Name: MisconceptionName, dtype: object",
Multiplying and Dividing Negative Numbers,Carry out multiplication problems involving one negative integer,\( 3 \times(-5)= \),3 ×(-5)=,,15,"1082    When multiplying with negative numbers, assume...
Name: MisconceptionName, dtype: object",\( 15 \)
Written Division,Convert the reminders from written division problems into decimals,"John has been asked to work out the answer to:
\[
232 \div 5
\]
He gets the answer \( 46 \) remainder \( 2 \)
What is the exact value of that remainder?",John has been asked to work out the answer to:      232 ÷ 5  He gets the answer 46 remainder 2 What is the exact value of that remainder?,,0.2,"1447    Writes the remainder as the digit after the de...
Name: MisconceptionName, dtype: object",\( 0.2 \)
Written Division,Convert the reminders from written division problems into decimals,"John has been asked to work out the answer to:
\[
232 \div 5
\]
He gets the answer \( 46 \) remainder \( 2 \)
What is the exact value of that remainder?",John has been asked to work out the answer to:      232 ÷ 5  He gets the answer 46 remainder 2 What is the exact value of that remainder?,\( 2 \),2,"1046    Does not understand remainders in division
Name: MisconceptionName, dtype: object",
Written Division,Convert the reminders from written division problems into decimals,"John has been asked to work out the answer to:
\[
232 \div 5
\]
He gets the answer \( 46 \) remainder \( 2 \)
What is the exact value of that remainder?",John has been asked to work out the answer to:      232 ÷ 5  He gets the answer 46 remainder 2 What is the exact value of that remainder?,\( 0.25 \),0.25,"1046    Does not understand remainders in division
Name: MisconceptionName, dtype: object",
Adding and Subtracting Algebraic Fractions,"Subtract algebraic fractions where the denominators are linear expressions, eg (x + 5) and (x - 3), and the numerators are single terms","STEP \( 1 \)
Which of the options is a correct first step to express the following as a single fraction?
\(
\frac{3}{x-2}-\frac{5}{x}
\)",STEP 1 Which of the options is a correct first step to express the following as a single fraction? 3/x-2-5/x,,3-5/x-2-x,"172    When subtracting fractions, subtracts the nume...
Name: MisconceptionName, dtype: object",\( \frac{3-5}{x-2-x} \)
Adding and Subtracting Algebraic Fractions,"Subtract algebraic fractions where the denominators are linear expressions, eg (x + 5) and (x - 3), and the numerators are single terms","STEP \( 1 \)
Which of the options is a correct first step to express the following as a single fraction?
\(
\frac{3}{x-2}-\frac{5}{x}
\)",STEP 1 Which of the options is a correct first step to express the following as a single fraction? 3/x-2-5/x,\( \frac{3(x-2)}{x(x-2)}-\frac{5 x}{x(x-2)} \),3(x-2)/x(x-2)-5 x/x(x-2),"1206    Does not understand how to maintain equivalenc...
Name: MisconceptionName, dtype: object",
Adding and Subtracting Algebraic Fractions,"Subtract algebraic fractions where the denominators are linear expressions, eg (x + 5) and (x - 3), and the numerators are single terms","STEP \( 1 \)
Which of the options is a correct first step to express the following as a single fraction?
\(
\frac{3}{x-2}-\frac{5}{x}
\)",STEP 1 Which of the options is a correct first step to express the following as a single fraction? 3/x-2-5/x,\( 9 x-5(x-2) \),9 x-5(x-2),"715    Removes the common denominator when making equ...
Name: MisconceptionName, dtype: object",
Rounding to Decimal Places,Round numbers between 0 and 1 to two significant figures,Which of the numbers is the same when rounded to \( 2 \) decimal places or to \( 2 \) significant figures?,Which of the numbers is the same when rounded to 2 decimal places or to 2 significant figures?,,23.725,"739    Rounds to wrong degree of accuracy (decimal pl...
Name: MisconceptionName, dtype: object",\( 23.725 \)
Rounding to Decimal Places,Round numbers between 0 and 1 to two significant figures,Which of the numbers is the same when rounded to \( 2 \) decimal places or to \( 2 \) significant figures?,Which of the numbers is the same when rounded to 2 decimal places or to 2 significant figures?,\( 0.038 \),0.038,"380    Does not understand the first significant valu...
Name: MisconceptionName, dtype: object",
Rounding to Decimal Places,Round numbers between 0 and 1 to two significant figures,Which of the numbers is the same when rounded to \( 2 \) decimal places or to \( 2 \) significant figures?,Which of the numbers is the same when rounded to 2 decimal places or to 2 significant figures?,\( 0.0599 \),0.0599,"380    Does not understand the first significant valu...
Name: MisconceptionName, dtype: object",
Adding and Subtracting with Decimals,Add decimals with the same number of decimals places,\( 1.39+2.53= \),1.39+2.53=,,4.01,"1898    When adding decimals, just adds the digits and...
Name: MisconceptionName, dtype: object",\( 4.01 \)
Adding and Subtracting with Decimals,Add decimals with the same number of decimals places,\( 1.39+2.53= \),1.39+2.53=,\( 3.812 \),3.812,"1383    When two digits sum to 10 or more during an ad...
Name: MisconceptionName, dtype: object",
Adding and Subtracting with Decimals,Add decimals with the same number of decimals places,\( 1.39+2.53= \),1.39+2.53=,\( 3.82 \),3.82,"1383    When two digits sum to 10 or more during an ad...
Name: MisconceptionName, dtype: object",
